main_speaker,title,speaker_occupation,duration,languages,views,comments
Ken Robinson,Do schools kill creativity?,Author/educator,1164,60,47227110,4553
Al Gore,Averting the climate crisis,Climate advocate,977,43,3200520,265
David Pogue,Simplicity sells,Technology columnist,1286,26,1636292,124
Majora Carter,Greening the ghetto,Activist for environmental justice,1116,35,1697550,200
Hans Rosling,The best stats you've ever seen,Global health expert; data visionary,1190,48,12005869,593
Tony Robbins,Why we do what we do,Life coach; expert in leadership psychology,1305,36,20685401,672
Julia Sweeney,Letting go of God,"Actor, comedian, playwright",992,31,3769987,919
Joshua Prince-Ramus,Behind the design of Seattle's library,Architect,1198,19,967741,46
Dan Dennett,Let's teach religion -- all religion -- in schools,"Philosopher, cognitive scientist",1485,32,2567958,852
Rick Warren,A life of purpose,"Pastor, author",1262,31,3095993,900
Cameron Sinclair,My wish: A call for open-source architecture,"Co-founder, Architecture for Humanity",1414,27,1211416,79
Jehane Noujaim,My wish: A global day of film,Filmmaker,1538,20,387877,55
Larry Brilliant,My wish: Help me stop pandemics,"Epidemiologist, philanthropist",1550,24,693341,71
Jeff Han,The radical promise of the multi-touch interface,Human-computer interface designer,527,27,4531020,242
Nicholas Negroponte,One Laptop per Child,Tech visionary,1057,25,358304,99
Sirena Huang,An 11-year-old's magical violin,Violinist,1481,31,2702470,325
Jennifer Lin,"Improvising on piano, aged 14","Pianist, composer",1445,32,1628912,305
Amy Smith,Simple designs to save a life,"inventor, engineer",906,27,1415724,88
Ross Lovegrove,"Organic design, inspired by nature",Industrial designer,1170,22,1074081,163
Jimmy Wales,The birth of Wikipedia,Founder of Wikipedia,1201,32,1106561,84
Richard Baraniuk,The birth of the open-source learning revolution,Education visionary,1114,27,966439,108
Ze Frank,Nerdcore comedy,"Humorist, web artist",1136,26,6141440,185
Mena Trott,Meet the founder of the blog revolution,"Blogger; cofounder, Six Apart",1006,20,518624,50
Helen Fisher,"Why we love, why we cheat","Anthropologist, expert on love",1407,33,9260764,556
Eve Ensler,Happiness in body and soul,"Playwright, activist",1225,23,1131864,117
David Deutsch,Chemical scum that dream of distant quasars,Quantum physicist,1140,29,1096862,184
Richard Dawkins,Why the universe seems so strange,Evolutionary biologist,1316,36,2885999,507
Steven Levitt,The freakonomics of crack dealing,Economist,1275,25,2863214,95
Malcolm Gladwell,"Choice, happiness and spaghetti sauce",Writer,1050,37,7023562,355
Dan Gilbert,The surprising science of happiness,Psychologist; happiness expert,1276,43,14689301,970
Barry Schwartz,The paradox of choice,Psychologist,1177,45,10000702,991
Eva Vertes,Meet the future of cancer research,Neuroscience and cancer researcher,1129,26,1030267,213
Aubrey de Grey,A roadmap to end aging,Crusader against aging,1365,29,3277740,612
Iqbal Quadir,How mobile phones can fight poverty,"Founder, GrameenPhone",952,21,503517,74
Jacqueline Novogratz,Invest in Africa's own solutions,Investor and advocate for moral leadership,773,26,705389,58
Sasa Vucinic,Why we should invest in a free press,Nonprofit venture capitalist,1080,21,580891,43
Ashraf Ghani,How to rebuild a broken state,President-elect of Afghanistan,1125,24,809226,67
Burt Rutan,The real future of space exploration,Aircraft engineer,1177,28,2028451,186
Ben Saunders,Why did I ski to the North Pole?,Arctic explorer,1083,26,745231,57
Bono,My wish: Three actions for Africa,"Musician, activist",1672,24,718649,112
Edward Burtynsky,My wish: Manufactured landscapes and green education,Photographer,2065,22,975107,58
Robert Fischell,My wish: Three unusual medical inventions,Biomedical inventor,1609,20,382996,33
Peter Donnelly,How juries are fooled by statistics,Mathematician; statistician,1280,20,1053758,105
Michael Shermer,Why people believe weird things,Skeptic,805,41,5364639,494
Ray Kurzweil,The accelerating power of technology,"Inventor, futurist",1376,22,2434344,233
Kevin Kelly,How technology evolves,Digital visionary,1200,26,1536873,149
Peter Gabriel,Fight injustice with raw video,"Musician, activist",848,24,904215,52
Richard St. John,8 secrets of success,"Marketer, success analyst",210,66,10841210,578
Rives,If I controlled the Internet,"Performance poet, multimedia artist",247,34,1813665,95
Dean Ornish,The killer American diet that's sweeping the planet,"Physician, author",198,48,2299265,199
Robert Neuwirth,The hidden world of shadow cities,Author,843,22,673036,85
Bjorn Lomborg,Global priorities bigger than climate change,Global prioritizer,1001,32,1391142,499
Wade Davis,Dreams from endangered cultures,"Anthropologist, ethnobotanist",1321,36,2532851,371
Phil Borges,Photos of endangered cultures,Photographer,1115,29,882034,59
Martin Rees,Is this our final century?,Astrophysicist,1046,29,2121177,203
Robert Wright,Progress is not a zero-sum game,"Journalist, philosopher",1151,23,1090180,130
Steven Johnson,"How the ""ghost map"" helped end a killer disease",Writer,603,29,684519,47
Charles Leadbeater,The era of open innovation,Innovation consultant,1141,24,1409327,91
Pilobolus,"A dance of ""Symbiosis""",Dance company,825,0,3051507,222
Anna Deavere Smith,Four American characters,"Actor, playwright, social critic",1385,19,978825,111
Saul Griffith,Everyday inventions,Inventor,869,18,442553,28
Neil Gershenfeld,Unleash your creativity in a Fab Lab,"Physicist, personal fab pioneer",1038,17,691814,64
Carl Honor’©,In praise of slowness,Journalist,1155,30,2441805,226
Bill Clinton,My wish: Rebuilding Rwanda,Activist,1447,26,849859,97
E.O. Wilson,My wish: Build the Encyclopedia of Life,Biologist,1355,26,1335732,89
James Nachtwey,My wish: Let my photographs bear witness,Photojournalist,1316,23,1262674,107
Jane Goodall,What separates us from chimpanzees?,Primatologist; environmentalist,1645,31,1663001,161
Seth Godin,How to get your ideas to spread,Marketer and author,1021,31,5570544,220
James Watson,How we discovered DNA,"Biologist, Nobel laureate",1211,28,1520908,114
Al Seckel,Visual illusions that show how we (mis)think,Master of visual illusions,873,31,2138907,88
Dean Kamen,To invent is to give,Inventor,1207,18,680134,130
Juan Enriquez,The life code that will reshape the future,Futurist,1340,20,690928,49
Stefan Sagmeister,Happiness by design,Graphic designer,930,26,1762302,86
Alex Steffen,The route to a sustainable future,Planetary futurist,1054,32,1392010,107
Thom Mayne,How architecture can connect us,Architect,1240,16,660909,50
Chris Bangle,Great cars are great art,Car designer,1204,23,867495,78
Nora York,"Singing ""What I Want""","Singer, performance artist",276,28,395769,40
Paul Bennett,Design is in the details,"Designer; creative director, Ideo",850,24,761930,27
Vik Muniz,"Art with wire, sugar, chocolate and string",Artist,891,23,1149090,84
Nick Bostrom,A philosophical quest for our biggest problems,Philosopher,1012,24,762264,131
Janine Benyus,Biomimicry's surprising lessons from nature's engineers,"Science writer, innovation consultant, conservationist",1399,24,1920434,127
Craig Venter,Sampling the ocean's DNA,"Biologist, genetics pioneer",1011,21,560904,34
Golan Levin,Software (as) art,Experimental audio-visual artist,893,20,606311,47
Susan Savage-Rumbaugh,The gentle genius of bonobos,Primate authority,1045,28,2197377,335
Frans Lanting,The story of life in photographs,Nature photographer,977,30,1697185,143
Sheila Patek,The shrimp with a kick!,"Biologist, biomechanics researcher",985,18,1115081,57
Jill Sobule,"Global warming's theme song, ""Manhattan in January""",Singer/songwriter,163,38,591379,39
Caroline Lavelle,Casting a spell on the cello,Cellist; singer-songwriter,459,25,398713,34
Dan Dennett,The illusion of consciousness,"Philosopher, cognitive scientist",1308,31,2676717,501
Evelyn Glennie,How to truly listen,Musician,1929,32,4165572,296
William McDonough,Cradle to cradle design,Architect,1205,25,1426390,231
Jeff Bezos,The electricity metaphor for the web's future,Online commerce pioneer,1031,22,754700,58
Rives,A mockingbird remix of TED2006,"Performance poet, multimedia artist",251,25,643078,58
Eddi Reader,"""Kiteflyer's Hill""",Singer/songwriter,378,28,513672,75
Eddi Reader,"""What You've Got""",Singer/songwriter,312,25,428351,50
Tom Honey,Why would God create a tsunami?,Priest,1172,22,616385,588
Richard Dawkins,Militant atheism,Evolutionary biologist,1750,42,4374792,6404
Tom Rielly,A comic sendup of TED2006,Satirist,1195,16,609087,49
Rachelle Garniez,"""La Vie en Rose""",Musician,201,33,443180,39
Chris Anderson,Technology's long tail,Drone maker,858,23,904520,42
Natalie MacMaster,Cape Breton fiddling in reel time,Fiddler,311,30,717002,67
Sergey Brin + Larry Page,The genesis of Google,"Computer scientist, entrepreneur and philanthropist",1233,31,1451846,56
Stew,"""Black Men Ski""",Singer/songwriter,277,22,577502,72
James Howard Kunstler,The ghastly tragedy of the suburbs,Social critic,1184,21,1683456,328
David Kelley,Human-centered design,"Designer, educator",1020,19,779873,32
Stewart Brand,What squatter cities can teach us,"Environmentalist, futurist",185,44,940913,99
Jeff Hawkins,How brain science will change computing,"Computer designer, brain researcher",1211,29,1371482,230
Tierney Thys,Swim with the giant sunfish,Marine biologist,1001,22,870412,87
Blaise Ag’_era y Arcas,How PhotoSynth can connect the world's images,Software architect,450,34,4772595,260
John Doerr,Salvation (and profit) in greentech,Venture capitalist,1072,20,805111,295
Ngozi Okonjo-Iweala,Want to help Africa? Do business here,Economist,1213,32,1044185,127
Anand Agarawala,Rethink the desktop with BumpTop,Interaction designer; software developer,279,31,1479503,124
Robert Thurman,We can be Buddhas,Buddhist scholar,726,31,1493606,220
David Rockwell,A memorial at Ground Zero,"Architect, experience designer",1477,18,404402,14
Thomas Barnett,Let's rethink America's military strategy,Military strategist,1402,19,1136037,305
Ethel,"A string quartet plays ""Blue Room""",String quartet,214,0,384641,27
Stephen Lawler,Tour Microsoft's Virtual Earth,General manager of Microsoft's Virtual Earth,370,25,308879,22
Hans Rosling,New insights on poverty,Global health expert; data visionary,1137,35,3243784,261
Bill Stone,I'm going to the moon. Who's with me?,"Explorer, inventor and outer space dreamer",1063,24,1801117,240
Dan Dennett,Dangerous memes,"Philosopher, cognitive scientist",926,32,1596067,392
Alan Russell,The potential of regenerative medicine,Medical futurist,1165,33,1427723,150
Jonathan Harris,The Web's secret stories,"Artist, storyteller, Internet anthropologist",1030,23,1049727,145
Emily Oster,Flip your thinking on AIDS in Africa,Assumption-busting economist,934,22,854967,136
Will Wright,"Spore, birth of a game",Game designer,997,19,1107307,126
Rives,The  4 a.m. mystery,"Performance poet, multimedia artist",552,34,3387765,276
David Bolinsky,Visualizing the wonder of a living cell,Medical animator,585,27,1788182,231
Allison Hunt,How to get (a new) hip,Marketing expert,288,39,558993,80
George Ayittey,Africa's cheetahs versus hippos,Economist,1070,20,648234,97
Ngozi Okonjo-Iweala,Aid versus trade,Economist,1330,21,524049,108
William Kamkwamba,How I built a windmill,Inventor,252,44,1543596,174
Euvin Naidoo,Why invest in Africa,Investment banker,1141,21,335086,31
Patrick Awuah,How to educate leaders? Liberal arts,University founder,1051,27,1216429,150
Chris Abani,Telling stories from Africa,"Novelist, poet",1056,21,561703,77
Jacqueline Novogratz,Patient capitalism,Investor and advocate for moral leadership,1103,26,836269,106
Vusi Mahlasela,"""Thula Mama""","Musician, activist",606,21,531957,60
Vusi Mahlasela,"""Woza""","Musician, activist",299,0,416603,36
Jeff Skoll,My journey into movies that matter,Producer,931,23,727247,49
Dean Kamen,"Luke, a new prosthetic arm for soldiers",Inventor,310,32,1575699,102
Erin McKean,The joy of lexicography,Dictionary editor,950,32,1013063,151
Andrew Mwenda,Aid for Africa? No thanks.,Journalist,1027,30,722877,126
Theo Jansen,"My creations, a new form of life",Artist,493,32,3982352,304
Steven Pinker,What our language habits reveal,Psychologist,1047,32,1914263,124
Steven Pinker,The surprising decline in violence,Psychologist,1155,32,2063367,677
Deborah Scranton,An Iraq war movie crowd-sourced from soldiers,Filmmaker,1056,19,507997,164
Zeresenay Alemseged,The search for humanity's roots,Paleoanthropologist,951,26,913666,65
John Maeda,Designing for simplicity,Artist,959,24,1215947,83
Stephen Petranek,10 ways the world could end,Technology forecaster ,1782,22,1712075,169
Paul MacCready,A flight on solar wings,Engineer,1280,20,736290,29
Carolyn Porco,This is Saturn,Planetary scientist,1029,33,2627709,225
Kenichi Ebina,My magic moves,Dancer,212,43,1720579,101
Richard Branson,"Life at 30,000 feet",Entrepreneur,1791,29,1609555,80
Hod Lipson,"Building ""self-aware"" robots",Roboticist,378,28,1212346,242
Maira Kalman,The illustrated woman,"Illustrator, author",1050,21,672254,45
Jan Chipchase,The anthropology of mobile phones,User anthropologist,963,22,694378,145
VS Ramachandran,3 clues to understanding your brain,Brain expert,1414,35,3930186,432
Eleni Gabre-Madhin,A commodities exchange for Ethiopia,Economist,1234,21,562457,64
Sherwin Nuland,How electroshock therapy changed me,Doctor,1338,26,1522858,262
Matthieu Ricard,The habits of happiness,"Monk, author, photographer",1254,39,7271730,412
Lawrence Lessig,Laws that choke creativity,Legal activist,1136,26,1895259,328
Paul Rothemund,Playing with DNA that self-assembles,DNA origamist,299,28,410563,40
David Keith,A critical look at geoengineering against climate change,Environmental scientist,958,24,876658,279
Juan Enriquez,Using biology to rethink the energy challenge,Futurist,1090,21,898974,115
Larry Brilliant,The case for optimism,"Epidemiologist, philanthropist",1261,22,418234,46
Robert Full,The sticky wonder of gecko feet,Biologist,1164,20,707524,31
Ron Eglash,The fractals at the heart of African designs,Mathematician,1017,22,1527858,185
Philippe Starck,Design and destiny,Designer,1026,29,1783740,156
Murray Gell-Mann,"Beauty, truth and ... physics?",Physicist,962,29,1181696,160
Amory Lovins,Winning the oil endgame,"Physicist, energy guru",1184,22,832668,154
Arthur Benjamin,"A performance of ""Mathemagic""",Mathemagician,914,44,8360707,604
Daniel Goleman,Why aren't we more compassionate?,Psychologist,793,34,1604402,183
Lakshmi Pratury,The lost art of letter-writing,Connector,249,40,533761,71
Gever Tulley,5 dangerous things you should let your kids do,Tinkerer,558,40,4364865,435
Isabel Allende,Tales of passion,Novelist,1080,38,3741423,465
Yossi Vardi,We're worried about local warming ... in your lap,Investor,375,28,933311,71
Deborah Gordon,The emergent genius of ant colonies,Ecologist,1231,21,928270,95
J.J. Abrams,The mystery box,Filmmaker,1082,30,3519656,227
David Gallo,Underwater astonishments,Oceanographer,327,47,13926113,554
Paola Antonelli,Treat design as art,Design curator,1097,22,585052,40
Frank Gehry,"A master architect asks, Now what?",Architect,1320,23,959382,39
Raul Midon,"""Tembererana""",Guitarist,640,22,403089,41
Bill Strickland,"Rebuilding a neighborhood with beauty, dignity, hope",Social innovator,2128,19,611092,95
Bernie Dunlap,The life-long learner,College president,1148,26,1854024,205
David Pogue,The music wars,Technology columnist,255,30,594523,51
Alison Jackson,An unusual glimpse at celebrity,Artist,1056,22,670863,34
Chris Anderson,TED's nonprofit transition,TED Curator,775,26,324266,117
Robin Chase,The idea behind Zipcar (and what comes next),Transport networker,819,23,434005,78
Jaime Lerner,A song of the city,City evangelist,943,25,596961,63
David Macaulay,An illustrated journey through Rome,Illustrator,1295,17,700273,30
Michael Pollan,A plant's-eye view,Environmental writer,1045,25,1359400,165
Howard Rheingold,The new power of collaboration,Digital community builder,1171,24,931001,60
Pamelia Kurstin,The untouchable music of the theremin,Theremin player,1151,24,1687185,105
George Dyson,The story of Project Orion,Historian of science,518,24,785872,53
Moshe Safdie,Building uniqueness,Architect,1066,20,545664,29
Jill Sobule + Julia Sweeney,The Jill and Julia Show,Singer/songwriter,374,23,487972,46
Raspyni Brothers,Juggle and jest,Jugglers,927,20,807628,84
Joseph Lekuton,A parable for Kenya,Kenyan MP,326,29,200726,43
Steve Jurvetson,Model rocketry,Venture capitalist,202,32,412154,26
Roy Gould + Curtis Wong,A preview of the WorldWide Telescope,Researcher,402,26,1034064,70
Alan Kay,A powerful idea about ideas,Educator and computing pioneer,1237,29,777609,61
Craig Venter,On the verge of creating synthetic life,"Biologist, genetics pioneer",954,24,1004893,137
Nicholas Negroponte,"5 predictions, from 1984",Tech visionary,1523,18,974087,64
Jill Bolte Taylor,My stroke of insight,Neuroanatomist,1099,49,21190883,2877
Frank Gehry,My days as a young rebel,Architect,2678,19,620806,9
Dave Eggers,My wish: Once Upon a School,"Author, publisher, education activist",1535,32,1357888,231
Karen Armstrong,My wish: The Charter for Compassion,Religious scholar,1288,30,1277619,456
Neil Turok,My wish: Find the next Einstein in Africa,"Physicist, education activist",1490,22,473165,69
Norman Foster,My green agenda for architecture,Architect,1917,23,763815,67
Christopher deCharms,A look inside the brain in real time,Brain researcher,242,38,1485761,156
Clifford Stoll,The call to learn,"Astronomer, educator, skeptic",1077,27,2283491,251
Rokia Traore,"""M'Bifo""",Singer-songwriter,419,0,294936,67
Siegfried Woldhek,The search for the true face of Leonardo,Illustrator,264,40,1224127,82
David Hoffman,Sputnik mania,Filmmaker,230,36,311741,39
Jakob Trollback,A new kind of music video,Designer,240,34,480377,68
Stephen Hawking,Questioning the universe,Theoretical physicist,612,39,8655723,551
Al Gore,New thinking on the climate crisis,Climate advocate,1674,44,1751426,664
Johnny Lee,Free or cheap Wii Remote hacks,Human-computer interaction researcher,340,36,5483940,258
Tod Machover + Dan Ellsey,Inventing instruments that unlock new music,"Composer, inventor",1241,21,497153,87
Yochai Benkler,The new open-source economics,Legal expert,1072,24,753974,92
Ernest Madu,World-class health care,Cardiologist,1003,19,371754,51
Amy Tan,Where does creativity hide?,Novelist,1372,34,2477746,145
Brian Greene,Making sense of string theory,Physicist,1146,35,4119616,534
Brian Cox,CERN's supercollider,Physicist ,899,37,3074172,292
They Might Be Giants,Wake up! It's They Might Be Giants!,Band,1041,17,362609,39
Hector Ruiz,The thinking behind 50x15,CEO,1197,18,315244,32
Paul Stamets,6 ways mushrooms can save the world,Mycologist,1064,28,4060628,356
Paul Ewald,Can we domesticate germs?,Evolutionary biologist,1071,18,442623,69
Michael Moschen,Juggling as art ... and science,Juggler,2222,18,944836,82
Joshua Klein,A thought experiment on the intelligence of crows,Hacker,606,33,2398373,303
Alisa Miller,How the news distorts our worldview,"CEO, Public Radio International (PRI)",269,49,1888717,211
Mark Bittman,What's wrong with what we eat,Food writer,1208,30,3830672,537
Robert Ballard,The astonishing hidden world of the deep ocean,Oceanographer,1099,23,1281570,111
Yves Behar,Designing objects that tell stories,Designer,1063,27,1109822,60
Arthur Ganson,Moving sculpture,Sculptor,944,24,672113,76
Seyi Oyesola,A hospital tour in Nigeria,Doctor,863,21,230569,49
Paul Collier,"The ""bottom billion""",Economist,1011,23,990220,139
Susan Blackmore,"Memes and ""temes""",Memeticist,1168,23,735638,358
Nathan Myhrvold,"Archeology, animal photography, BBQ ...",Polymath,1034,18,437132,57
Rokia Traore,"""Kounandi""",Singer-songwriter,386,0,82488,43
Wade Davis,The worldwide web of belief and ritual,"Anthropologist, ethnobotanist",1152,20,984223,174
Murray Gell-Mann,The ancestor of language,Physicist,135,61,785293,76
George Dyson,The birth of the computer,Historian of science,1038,24,838799,85
Chris Jordan,Turning powerful stats into art,Artist,674,34,1520108,218
Dean Ornish,Your genes are not your fate,"Physician, author",192,52,1384333,102
Robert Full,Robots inspired by cockroach ingenuity,Biologist,1222,19,799797,83
Adam Grosser,A mobile fridge for vaccines,Venture capitalist,211,51,857181,131
Steven Levitt,Surprising stats about child carseats,Economist,1138,25,749952,119
Benjamin Zander,The transformative power of classical music,Conductor,1243,45,9315483,638
Nicholas Negroponte,"One Laptop per Child, two years on",Tech visionary,1000,18,398643,43
Nellie McKay,"""Clonie""",Singer/songwriter,140,39,680591,42
Sxip Shirey + Rachelle Garniez,"A performance with breath, music, passion",Musician,186,0,217663,50
Peter Diamandis,Stephen Hawking's zero g flight,Space activist,241,32,497899,38
Rick Smolan,The story of a girl,Photographer,1507,25,1123955,197
Raul Midon,"""Peace on Earth""",Guitarist,559,25,327542,49
Corneille Ewango,A hero of the Congo forest,Botanist and activist,1098,20,368974,41
Torsten Reil,Animate characters by evolving them,Animating neurobiologist,1100,19,325148,43
David Hoffman,What happens when you lose everything,Filmmaker,240,38,920941,166
Clay Shirky,Institutions vs. collaboration,Social Media Theorist,1246,24,1097533,64
Nellie McKay,"""Mother of Pearl,"" ""If I Had You""",Singer/songwriter,334,24,1013879,59
Freeman Dyson,Let's look for life in the outer solar system,Physicist,1151,24,895199,87
Helen Fisher,The brain in love,"Anthropologist, expert on love",956,33,4883112,229
Billy Graham,On technology and faith,Preacher,1580,27,1532675,791
AJ Jacobs,My year of living biblically,Author,1060,39,2291701,583
Keith Barry,Brain magic,Magician,1189,28,13327101,669
Martin Seligman,The new era of positive psychology,Psychologist,1422,36,4190393,224
Marisa Fick-Jordan,The wonder of Zulu wire art,"Craft artist, product designer",153,43,294961,15
Chris Abani,On humanity,"Novelist, poet",974,28,843859,137
Louise Leakey,A dig for humanity's origins,Paleoanthropologist,936,23,656400,70
Jonathan Harris,The web as art,"Artist, storyteller, Internet anthropologist",1229,24,855052,79
Reed Kroloff,A tour of modern architecture,Architecture critic,921,18,282994,36
Kevin Kelly,"The next 5,000 days of the web",Digital visionary,1174,26,1358292,233
Kwabena Boahen,A computer that works like the brain,Bioengineer,982,21,580298,93
Robert Lang,The math and magic of origami,Origamist,953,29,2161846,66
Bruno Bowden + Rufus Cappadocia,Blindfold origami and cello,Engineer and origamist,178,38,375734,16
Patricia Burchat,Shedding light on dark matter,Particle physicist,969,30,1410164,272
Spencer Wells,A family tree for humanity,Genographer,1253,22,665947,90
David Griffin,How photography connects us,"Director of photography, National Geographic",893,28,1056435,80
Lennart Green,Close-up card magic with a twist,Close-up card magician,1868,21,4204848,109
Ian Dunbar,Dog-friendly dog training,Animal behaviorist,886,25,1002304,134
Nellie McKay,"""The Dog Song""",Singer/songwriter,213,27,679711,45
John Q. Walker,"Great piano performances, recreated",Musician and inventor,821,19,329964,55
Sugata Mitra,Kids can teach themselves,Education researcher,1259,30,1486853,174
Ory Okolloh,How I became an activist,Blogger and activist,998,19,321896,92
Einstein the Parrot,"A talking, squawking parrot",African grey parrot,348,31,2350678,99
Paul Rothemund,"DNA folding, in detail",DNA origamist,984,21,501256,54
Peter Diamandis,Our next giant leap,Space activist,931,21,504508,91
Peter Hirshberg,"The web is more than ""better TV""","Entrepreneur, marketer",1899,17,250722,62
Jonathan Drori,What we think we know,Educator,748,27,1032549,151
Jane Goodall,How humans and animals can live together,Primatologist; environmentalist,1426,26,556147,62
Irwin Redlener,How to survive a nuclear attack,"Physician, disaster-preparedness activist",1518,21,657688,85
Brewster Kahle,A free digital library,Digital librarian,1206,24,445781,56
David Gallo,Life in the deep oceans,Oceanographer,800,25,996736,66
Carmen Agra Deedy,"Once upon a time, my mother ...",Storyteller,1414,23,672797,68
Keith Bellows,The camel's hump,Traveler,966,18,185275,12
Ann Cooper,What's wrong with school lunches,Lunch lady,1182,26,1137771,219
Jonathan Haidt,The moral roots of liberals and conservatives,Social psychologist,1122,31,2724208,838
Eve Ensler,What security means to me,"Playwright, activist",825,27,1074170,97
David S. Rose,How to pitch to a VC,Angel Investor,879,20,1008394,102
Marvin Minsky,Health and the human mind,AI pioneer,813,22,513090,45
Philip Zimbardo,The psychology of evil,Psychologist,1396,33,5842377,383
Laura Trice,Remember to say thank you,"Counselor, coach and baker",209,53,1714168,166
Caleb Chung,"Playtime with Pleo, your robotic dinosaur friend",Toy designer,1107,17,417769,39
Steven Pinker,Human nature and the blank slate,Psychologist,1362,29,1044038,218
Rodney Brooks,Robots will invade our lives,Roboticist,1127,20,602024,81
Stefan Sagmeister,Things I've learned in my life so far,Graphic designer,285,37,724833,41
Noah Feldman,Politics and religion are technologies,Constitutional law scholar,907,21,385647,172
Liz Diller,The Blur Building and other tech-empowered architecture,Designer,1164,17,583322,53
James Nachtwey,Moving photos of extreme drug-resistant TB,Photojournalist,352,27,421212,33
David Perry,Are games better than life?,Game designer,1266,30,1084634,180
Doris Kearns Goodwin,Lessons from past presidents,Historian,1128,19,522550,53
Steven Johnson,The Web as a city,Writer,990,21,344618,15
James Burchfield,Playing invisible turntables,Human beatbox,284,34,794615,93
Garrett Lisi,An 8-dimensional model of the universe,Physicist,1286,24,1491698,278
Paola Antonelli,Design and the Elastic Mind,Design curator,1060,20,313572,23
Virginia Postrel,On glamour,Journalist,975,22,379382,43
Dean Ornish,Healing through diet,"Physician, author",1009,22,1110781,120
John Hodgman,"Aliens, love -- where are they?",Expert,1000,26,1935213,111
Paul MacCready,Nature vs. humans,Engineer,1368,19,197139,29
Mihaly Csikszentmihalyi,"Flow, the secret to happiness",Positive psychologist,1135,34,4016531,243
Kristen Ashburn,The face of AIDS in Africa,Photographer,277,32,352285,40
Jared Diamond,Why do societies collapse?,Civilization scholar,1101,29,1636425,212
Rives,A story of mixed emoticons,"Performance poet, multimedia artist",197,49,1594241,87
Zach Kaplan + Keith Schacht,Toys and materials from the future,Inventor,946,20,411647,41
Newton Aduaka,The story of Ezra,Filmmaker,1124,20,330238,37
Jackie Tabick,The balancing act of compassion,Spiritual leader,946,30,176245,76
Dayananda Saraswati,The profound journey of compassion,Vedantic teacher,1014,38,273396,99
James Forbes,Compassion at the dinner table,Preacher,1118,20,204410,30
Feisal Abdul Rauf,"Lose your ego, find your compassion", Chairman of the Cordoba Initiative,1007,47,433202,152
Robert Thurman,Expanding your circle of compassion,Buddhist scholar,1087,27,304800,46
Robert Wright,The evolution of compassion,"Journalist, philosopher",1016,21,236002,82
Graham Hawkes,A flight through the ocean,Inventor,731,20,375491,30
James Surowiecki,The power and the danger of online crowds,Finance journalist,1019,20,429084,27
John Francis,Walk the earth ... my 17-year vow of silence,Planet walker,1164,28,723599,108
Tim Brown,Tales of creativity and play,Designer,1678,26,1893522,139
Luca Turin,The science of scent,Nose,953,23,487630,65
Lee Smolin,Science and democracy,Physicist,745,25,258922,57
Samantha Power,A complicated hero in the war on dictatorship,Political scientist and journalist,1389,20,456095,45
Charles Elachi,The story behind the Mars Rovers,Planetary scientist,1697,21,558734,29
Ursus Wehrli,Tidying up art,Comedian,957,30,1314201,80
Stewart Brand,The Long Now,"Environmentalist, futurist",1403,17,242975,51
Isaac Mizrahi,Fashion and creativity,Fashion designer,856,23,900005,89
Franco Sacchi,"A tour of Nollywood, Nigeria's booming film industry",Filmmaker,1054,19,223082,36
George Smoot,The design of the universe,Astrophysicist,1140,27,1630525,255
Bill Joy,"What I'm worried about, what I'm excited about",Technologist and futurist,1142,23,487378,36
Dan Barber,A foie gras parable,Chef,1224,25,1294705,226
Andy Hobsbawm,Do the green thing,Internet entrepreneur,202,43,429967,33
Gregory Petsko,The coming neurological epidemic,Bioengineer,227,37,909508,63
Richard Preston,The mysterious lives of giant trees,Writer,1171,20,644637,66
Philip Rosedale,Life in Second Life,Entrepreneur,1711,19,554794,92
Larry Burns,The future of cars,Automotive researcher,552,27,565020,127
Nick Sears,Demo: The Orb,Inventor,238,29,457492,19
David Holt,The joyful tradition of mountain music,Folk musician,1517,21,512588,31
Eva Zeisel,The playful search for beauty,Designer,1089,26,438972,58
Dennis vanEngelsdorp,A plea for bees,Bee expert,988,25,590570,111
Jay Walker,My library of human imagination,Entrepreneur,429,33,482996,43
Dan Gilbert,Why we make bad decisions,Psychologist; happiness expert,2018,31,3707266,230
Benjamin Wallace,The price of happiness,Author,880,34,1848521,99
Penelope Boston,There might just be life on Mars,Cave scientist,1109,20,651151,42
Steven Strogatz,The science of sync,Mathematician,1318,20,642201,94
Nicholas Negroponte,Taking OLPC to Colombia,Tech visionary,408,30,363202,116
Jennifer 8. Lee,The hunt for General Tso,Reporter,998,19,1285775,84
Kary Mullis,Play! Experiment! Discover!,Biochemist,1772,19,532759,116
John Maeda,My journey in design,Artist,1026,20,241858,26
Paul Sereno,Digging up dinosaurs,Paleontologist,1306,20,764982,24
Paul Moller,My dream of a flying car,Inventor,939,20,417728,124
Greg Lynn,Organic algorithms in architecture,Designer,1134,19,346702,50
Rob Forbes,Ways of seeing,Designer,937,18,368513,24
Scott McCloud,The visual magic of comics,Cartoonist,1028,25,1022333,68
Peter Reinhart,The art and craft of bread,Baker,934,22,817651,42
Joseph Pine,What consumers want,Writer,859,22,930647,89
Paula Scher,"Great design is serious, not solemn",Designer at play,1316,17,505714,51
David Carson,Design and discovery,Type designer,1359,21,774492,36
Jamais Cascio,Tools for a better world,World-builder,975,18,212202,22
Barry Schuler,Genomics 101,Entrepreneur,1286,21,389420,117
