main_speaker,title,speaker_occupation,duration,languages,views,comments
Deborah Rhodes,"A test that finds 3x more breast tumors, and why it's not available to you","Physician, cancer researcher",1268,30,892492,207
Neil Pasricha,The 3 A's of awesome,"Director, The Institute for Global Happiness",1053,36,2859644,592
Jody Williams,A realistic vision for world peace,Nobel peace laureate,652,32,667218,205
Amber Case,We are all cyborgs now,Cyborg Anthropologist ,473,38,1475333,250
Thomas Thwaites,How I built a toaster -- from scratch,Designer,651,29,1301834,179
Elizabeth Lesser,"Take ""the Other"" to lunch",Wellness specialist,668,31,1208946,322
Ali Carr-Chellman,Gaming to re-engage boys in learning,Instructional designer,750,35,953587,616
Naomi Klein,Addicted to risk,"Author, Activist ",1189,27,900395,342
Charity Tillemann-Dick,Singing after a double lung transplant,Soprano,1085,28,521502,142
Van Jones,The economic injustice of plastic,Social justice and green energy activist,769,26,462012,356
Anders Ynnerman,Visualizing the medical data explosion,Scientific visualization expert,996,22,463366,55
Heather Knight,Silicon-based comedy,Roboticist ,364,30,757335,114
Martin Jacques,Understanding the rise of China,"Writer, columnist",1290,33,2327025,920
Thomas Goetz,It's time to redesign medical data,Healthcare communicator,993,27,497626,98
Liza Donnelly,Drawing on humor for change,Cartoonist ,402,38,1300622,132
Ariel Garten,"Know thyself, with a brain scanner","Artist, scientist and entrepreneur",904,26,399314,146
Bruce Feiler,The council of dads,Writer,1233,20,465856,58
Kate Orff,Reviving New York's rivers -- with oysters!,Landscape architect,607,25,316975,76
Dale Dougherty,We are makers,Tech publisher,707,30,724865,98
Johanna Blakley,Social media and the end of gender,Media maven,507,35,1272294,168
Christopher McDougall,Are we born to run?,"Journalist, runner",952,32,2434842,350
Suheir Hammad,"Poems of war, peace, women, power","Poet, playwright",353,35,599444,89
Nigel Marsh,How to make work-life balance work,Author and marketer,605,41,3813685,283
Cynthia Breazeal,The rise of personal robots,Roboticist ,844,27,1064574,189
Hawa Abdi + Deqo Mohamed,Mother and daughter doctor-heroes,Somali doctors who treat women refugees,523,35,348647,79
Michael Pawlyn,Using nature's genius in architecture,Architect,826,32,1740568,229
Geert Chatrou,A whistleblower you haven't heard,Whistler,716,31,1917442,93
Krista Tippett,Reconnecting with compassion,Journalist,953,25,694181,84
Patricia Kuhl,The linguistic genius of babies,Language ,617,45,2513242,347
Jacqueline Novogratz,Inspiring a life of immersion,Investor and advocate for moral leadership,1068,27,861056,165
Lisa Gansky,"The future of business is the ""mesh""",Entrepreneur,887,26,710327,76
Madeleine Albright,On being a woman and a diplomat,Former US Secretary of State,779,35,729867,107
Noreena Hertz,How to use experts -- and when not to,Economist,1098,31,880598,273
Iain Hutchison,Saving faces: A facial surgeon's craft,Facial surgeon,954,24,620073,38
Elizabeth Lindsey,Curating humanity's heritage,"Explorer, ethnographer",613,30,439180,555
Danny Hillis,Understanding cancer through proteomics,Computer theorist,1195,23,420269,82
Ahn Trio,"A modern take on piano, violin, cello",Piano trio,565,36,746852,97
Wadah Khanfar,A historic moment in the Arab world,Journalist,1032,32,922923,163
JR,My wish: Use art to turn the world inside out,Street artist,1449,38,2626483,378
Wael Ghonim,Inside the Egyptian revolution,Internet activist and computer engineer,591,32,914212,190
Bill Gates,How state budgets are breaking US schools,Philanthropist,616,35,1866264,231
Anthony Atala,Printing a human kidney,Surgeon,1044,27,2783715,249
Courtney E. Martin,This isn't her mother's feminism,Journalist,686,29,953671,202
Sal Khan,Let's use video to reinvent education,Educator and social entrepreneur,1227,43,4609857,548
Deb Roy,The birth of a word,Cognitive scientist,1192,33,2475423,370
Rob Harmon,How to keep rivers and streams flowing,Natural resources expert,526,30,596776,134
David Brooks,The social animal,Op-ed columnist ,1124,33,1132752,226
Janna Levin,The sound the universe makes,Physicist,1063,30,1119772,239
Mark Bezos,A life lesson from a volunteer firefighter,"Activist, volunteer firefighter",247,48,2178952,163
Rogier van der Heide,Why light needs darkness,Lighting designer,1011,29,562653,109
Sarah Kay,If I should have a daughter ...,Poet,1105,42,10529854,645
Hans Rosling,The magic washing machine,Global health expert; data visionary,555,46,2391977,268
Isabel Behncke,"Evolution's gift of play, from bonobo apes to humans",Primatologist,421,29,710619,232
Paul Root Wolpe,It's time to question bio-engineering,Ethicist,1182,28,1226731,773
Eythor Bender,Human exoskeletons -- for war and healing,Berkeley Bionics' CEO,383,33,1370710,226
Claron McFadden,Singing the primal mystery,Soprano,654,25,400082,71
Patricia Ryan ,Don't insist on English!,Language teacher,635,54,1624741,353
Ralph Langner,"Cracking Stuxnet, a 21st-century cyber weapon",Security consultant,640,31,1349028,214
Handspring Puppet Co.,The genius puppetry behind War Horse,Puppeteers,1091,23,1530711,102
Sebastian Thrun,Google's driverless car,Engineer,254,43,2442977,289
Eric Whitacre,"A virtual choir 2,000 voices strong","Composer, conductor",874,36,3421371,270
AnnMarie Thomas,Hands-on science with squishy circuits,Educator,248,34,856326,86
Stanley McChrystal,"Listen, learn ... then lead",Military leader,938,33,2467385,278
Chade-Meng Tan,Everyday compassion at Google,Google Fellow,848,27,893343,110
Morgan Spurlock,The greatest TED Talk ever sold,Filmmaker,1168,31,2049103,154
Mick Ebeling,The invention that unlocked a locked-in artist,Entrepreneur,469,33,943624,158
Caroline Casey,Looking past limits,Inclusivity activist,1157,33,2030154,207
Jackson Browne,A song inspired by the ocean,Musician and activist,266,31,656851,32
David Christian,The history of our world in 18 minutes,Historian,1060,37,7481004,542
Dave Meslin,The antidote to apathy,Artist and organizer,425,40,1612925,221
Roger Ebert,Remaking my voice,Film critic and blogger,1169,29,1104345,134
Marcin Jakubowski,Open-sourced blueprints for civilization,Farmer and technologist,250,44,1479352,324
Susan Lim,"Transplant cells, not organs",Surgeon,986,31,620231,273
Sam Richards,A radical experiment in empathy,Sociologist,1087,36,1531265,529
Kathryn Schulz,On being wrong,Wrongologist,1071,42,3976339,480
John Hunter,Teaching with the World Peace Game,Educator,1190,35,1394203,290
Anil Ananthaswamy,What it takes to do extreme astrophysics,Science writer,848,26,537035,69
Ric Elias,3 things I learned while my plane crashed,Entrepreneur,302,53,6636475,394
Harvey Fineberg,Are we ready for neo-evolution?,Health policy expert,1041,30,1021180,328
Bruce Schneier,The security mirage,Security expert,1265,30,744089,78
Angela Belcher,Using nature to grow batteries,Biological engineer,625,33,862689,140
Mike Matas,A next-generation digital book,Software engineer,274,47,1507048,236
Arvind Gupta,Turning trash into toys for learning,Toymaker,930,36,1367702,119
Eli Pariser,"Beware online ""filter bubbles""",Organizer and author,544,41,4039403,507
Aicha el-Wafi + Phyllis Rodriguez,"The mothers who found forgiveness, friendship",9/11 mothers,594,32,820976,149
Carlo Ratti,Architecture that senses and responds,Architect and engineer,946,29,657251,80
Suzanne Lee,Grow your own clothes,Designer,400,39,1218882,144
Sean Carroll,Distant time and the hint of a multiverse,"Physicist, cosmologist",954,34,1549458,363
Louie Schwartzberg,The hidden beauty of pollination,Filmmaker,468,40,1885751,162
Paul Nicklen,Animal tales from icy wonderlands,Polar photographer,1075,35,2004519,213
Fiorenzo Omenetto,"Silk, the ancient material of the future",Biomedical engineer,580,32,747979,94
Ron Gutman,The hidden power of smiling,Entrepreneur,446,51,4653286,299
Amit Sood,Building a museum of museums on the web,Technologist,335,39,612377,124
Leonard Susskind,My friend Richard Feynman,Physicist,881,30,846544,69
Ed Boyden,A light switch for neurons,Neuroengineer,1104,32,931567,170
Thomas Heatherwick,Building the Seed Cathedral,Designer,1012,31,1586547,143
Elliot Krane,The mystery of chronic pain,Pediatric anesthesiologist,494,38,1778606,427
Edith Widder,"The weird, wonderful world of bioluminescence",Marine biologist,765,34,1215549,95
Terry Moore,How to tie your shoes,Thinker,179,59,6263759,309
Improv Everywhere,Gotta share!,Pranksters,200,0,357454,115
Aaron Koblin,Visualizing ourselves ... with crowd-sourced data,Data artist,1098,27,1474192,79
Bruce Aylward,How we'll stop polio for good,Epidemiologist,1389,26,509375,97
Shirin Neshat,Art in exile,Iranian visual artist,644,32,650274,165
Mustafa Akyol,Faith versus tradition in Islam,Journalist,1031,37,1113407,615
Robert Gupta + Joshua Roman,"On violin and cello, ""Passacaglia""",Violinist,561,39,769926,72
Malcolm McLaren,Authentic creativity vs. karaoke culture,Provocateur,2761,0,251313,121
Dennis Hong,Making a car for blind drivers,Roboticist ,548,32,703439,169
Stefan Sagmeister,7 rules for making more happiness,Graphic designer,573,38,1670894,93
Aaron O'Connell,Making sense of a visible quantum object,Physicist,471,30,1272198,333
Jessi Arrington,Wearing nothing new,Designer,324,39,1202928,188
Damon Horowitz,"We need a ""moral operating system""","Philosopher, entrepreneur",978,30,681873,135
Jack Horner,Building a dinosaur from a chicken,Dinosaur digger,996,31,2442996,189
Janet Echelman,Taking imagination seriously,Artist,566,35,1832930,2492
Paul Romer,The world's first charter city?,"Chief Economist and Senior Vice President, World Bank",553,28,461382,383
Alice Dreger,Is anatomy destiny?,Historian,1128,28,1071132,241
JD Schramm,Break the silence for suicide attempt survivors,Communicator,254,41,1621707,339
Daniel Kraft,Medicine's future? There's an app for that,Physician scientist,1101,23,869847,123
Shea Hembrey,How I became 100 artists,Artist and curator,1008,30,1486880,281
Steve Keil,"A manifesto for play, for Bulgaria and beyond",Entrepreneur,1076,28,602203,199
Camille Seaman,Haunting photos of polar ice,Photographer,251,41,938456,121
Onyx Ashanti,This is beatjazz,Beatjazz inventor and controllerist,389,33,788065,226
Maya Beiser,A cello with many voices,Cellist,1209,34,929077,100
Bill Ford,A future beyond traffic gridlock,"Executive chair, Ford Motor Co.",1008,26,800056,279
Daniel Tammet,Different ways of knowing,"Linguist, educator",653,38,1751030,220
Jok Church,A circle of caring,Cartoonist,213,42,727487,78
Honor Harger,A history of the universe in sound,Artist,676,32,909194,85
Joshua Walters,On being just crazy enough,"Comedian, activist",351,39,1637656,235
